Word,Semantic Orientation Value
interior,8.07068491389
sanfrancisco,8.01358267642
study,7.98556830025
advanced,7.98556830025
with,7.97176250073
firms,7.97176250073
driverlesstrans,7.97176250073
pilot,7.97176250073
explains,7.91782369362
busy,7.91782369362
animate,7.91782369362
farmers,7.91782369362
flat,7.91782369362
falling,7.898105459
cybersecurity,7.87865309634
it’s,7.86423403642
iphone,7.81564329881
theft,7.77911742278
else,7.77112463203
dont,7.77112463203
spectrum,7.74937007939
goog,7.74937007939
kamaz,7.71638166744
mit,7.69165458153
software,7.63615946894
georgehotz,7.59589559873
files,7.59589559873
truly,7.59325087747
tell,7.59325087747
taste,7.59325087747
tech…,7.57748356161
unmannedworld,7.57748356161
working,7.56361138703
partner,7.56188670656
ansiblemotion,7.49125116397
abandons,7.49125116397
autolivinc,7.49125116397
all-electric,7.49125116397
aiming,7.49125116397
3dincites,7.49125116397
allprofleetaz,7.49125116397
2045,7.49125116397
agritech,7.49125116397
autodrive,7.49125116397
auroraworldview,7.49125116397
7/25,7.49125116397
fabianladda,7.44919653714
legal,7.44919653714
roads,7.4286201757
semi,7.40988361312
started,7.40060579953
smartcar,7.38680000001
3dprinting,7.33286119289
asis2016,7.33286119289
johnkoetsier,7.25869517426
bubble,7.18616213131
brown,7.18616213131
cnnmoney,7.18616213131
doc,7.18616213131
fatal,7.18616213131
enterprises,7.18616213131
brisbane,7.18616213131
3novices,7.18616213131
rides,7.10104551767
tsla,6.96980098439
dream,6.91782369362
gregoryhjames,6.91782369362
accelerates,6.90628866325
say,6.87865309634
john,6.86423403642
find,6.85628528331
toyota,6.84051796745
train,6.8249211124
button,6.75674960976
robots,6.75449912191
-via,6.68600801839
george,6.65810202182
internet,6.60119963059
bi_transport,6.60119963059
crowdedhead,6.60119963059
greenerdriving,6.60119963059
mobileye,6.59854517714
without,6.59854517714
bigdata,6.59325087747
double,6.51608301695
autoliv,6.49125116397
affected,6.49125116397
automotive_news,6.49125116397
tractors,6.43808050495
tcdisrupt,6.40060579953
they,6.38680000001
retweeted,6.35509114028
mobile,6.27661708226
emergency,6.21738397547
controlled,6.18616213131
cnn,6.18616213131
smartmobility,6.16244606234
transport,6.13911355851
top,6.09729338281
100,6.03557168019
bring,5.92445678595
according,5.90628866325
author,5.90628866325
dr.,5.86423403642
again,5.86423403642
futureofmobility,5.86423403642
economy,5.74789869217
would,5.73472330343
ubers,5.73181170801
bitcoin,5.60119963059
riders,5.59325087747
breaks,5.28512858211
better,5.26762829903
tech,5.26642745168
insurtech,5.09869929006
details,5.05665139831
add-on,5.043792187
era,5.01623712987
moving,4.97176250073
why,4.95299269671
culture,4.91874313475
world,4.83425897698
win,4.7030144437
cars►,4.70043971814
4.1,4.68389624191
driverless,4.31712111125
test,4.29208134275
vehicle,4.17722285633
uber’s,4.01756619034
arriving,3.80735492206
appropriate,3.72673051267
art,3.72673051267
berkleybikes,3.72673051267
hail,3.66260017525
autonomousdriving,3.63303727851
invest,3.51457317283
drunken,3.48572241317
arguments,3.40378832272
conference,3.39231742278
camera,3.21152692907
ugv,3.17376137556
uber,3.1176334504
birdpoop,3.0
debut,2.91383385665
elizabeth_joh,2.80735492206
decide,2.70459363724
reasons,2.61555160245
happened,2.58496250072
alexroy144,2.53705485358
+20,2.53705485358
alex,2.53705485358
augmented,2.45943161864
apparently,2.32192809489
driving,2.20977142106
humans,2.1911524339
after,2.03181954533
hitting,2.00983054156
came,2.0
cheat,2.0
flaw,2.0
put,1.745969771
dmv,1.66043585092
ban,1.58496250072
creativity,1.58496250072
camping,1.41503749928
folding,1.41503749928
shovel,1.41503749928
tesla,1.31558508928
aboard,1.22239242134
many,1.0
adavies47,1.0
datastorage,1.0
olli,1.0
naysayers,1.0
freshdialogues,1.0
heats,0.917537839808
googlecar,0.795100005015
driverless…,0.793549122533
goes,0.777607578664
hours,0.734951019477
attending,0.637429920615
assist,0.584962500721
cdixon,0.471621027645
country,0.415037499279
boat,0.415037499279
exist,0.415037499279
google’s,0.263034405834
attention,0.222392421336
one,0.218640286475
expected,0.154943400699
electronics,0.0489096004809
digitaltrends,0.0
sputter,0.0
zipcar,0.0
wjxt,0.0
uoft,0.0
appropriation,0.0
caddiesautonomes,0.0
bringing,0.0
selfd…,0.0
wednesday,0.0
debuting,0.0
straight,0.0
specially,0.0
feasibility,0.0
second,0.0
svairesearch,0.0
shrugging,0.0
pittsburghers,0.0
fossil,0.0
designing,0.0
replaced,0.0
personalinjurylawyer,0.0
reporter,0.0
reported,0.0
reports,0.0
“pittsburgh,0.0
explained,0.0
cyber-islam,0.0
2025ad,0.0
unit,0.0
strike,0.0
“best,0.0
successful,0.0
brings,0.0
yahoo,0.0
hurt,0.0
hold,0.0
sketchapp,0.0
locked,0.0
conversationsmatter,0.0
thelaunch,0.0
199…,0.0
ltucci,0.0
wang,0.0
writerslife,0.0
household,0.0
want,0.0
hog,0.0
hod,0.0
drying,0.0
hot,0.0
car-mounted,0.0
themoderateman,0.0
dinosaurs,0.0
wrong,0.0
quips,0.0
extortion,0.0
types,0.0
effective,0.0
helsinki,0.0
mid-autumn,0.0
ruthhill74,0.0
'rethinking,0.0
nonsensical,0.0
drivetech,0.0
uber-cool,0.0
feedback,0.0
jdclassic,0.0
rewarded,0.0
dreamer,0.0
matures,0.0
salenazito,0.0
selfdrivingcommunication,0.0
getparkplus,0.0
easier,0.0
pontificating,0.0
s90…,0.0
effects,0.0
vonniequinn,0.0
series,0.0
jarringly,0.0
laboratory,0.0
sdcc,0.0
whip,0.0
self-,0.0
trending,0.0
surveys,0.0
assures,0.0
sensors,0.0
atc,0.0
robotpushmybuttons,0.0
silicon,0.0
'trust,0.0
levels,0.0
atx,0.0
duquesne,0.0
traction,0.0
selfdriving…,0.0
gautranguillaum,0.0
sec2sv,0.0
master,0.0
w/donald,0.0
collapse,0.0
mckinsey,0.0
modiministry,0.0
africahave,0.0
project,0.0
trex,0.0
friend,0.0
untrained,0.0
mrrobot,0.0
dozen,0.0
newsfusionapps,0.0
doors,0.0
layoffs,0.0
thrilled,0.0
huh,0.0
wells,0.0
victoria,0.0
mouth,0.0
released,0.0
cams,0.0
correctly”,0.0
internetofthings,0.0
bomb,0.0
rediscovers,0.0
1541,0.0
headline,0.0
edtech,0.0
randizuckerberg,0.0
scgc,0.0
“immediate,0.0
intveh,0.0
reversal,0.0
rugged,0.0
smartcityforum,0.0
omgrobots,0.0
release,0.0
respond,0.0
disaster,0.0
jessicadesa,0.0
sedans,0.0
ambitions,0.0
lots,0.0
delphi,0.0
men,0.0
nature,0.0
rolled,0.0
toddctv,0.0
patented,0.0
accident,0.0
pitt,0.0
wipeout,0.0
asked,0.0
johndeere,0.0
vishalmrpscam,0.0
criticised,0.0
worked,0.0
spin,0.0
“who,0.0
weirdness,0.0
hong,0.0
etribune,0.0
things,0.0
selfdrivngcar,0.0
fairly,0.0
workforce,0.0
ownership,0.0
tune,0.0
technicolor,0.0
titus_k,0.0
ctia,0.0
ideal,0.0
prison,0.0
theeconomist,0.0
gridlock,0.0
natsfoty1,0.0
rasushrestha,0.0
themotleyfool,0.0
misled,0.0
steps,0.0
dindustryemag,0.0
old,0.0
crowd,0.0
billboard,0.0
connectedcar…,0.0
fox,0.0
traffic/pollution,0.0
nosurprises,0.0
shifting,0.0
manufacturing,0.0
dollars,0.0
bentossell,0.0
extremetech,0.0
stoked,0.0
pivotfast,0.0
estonishment,0.0
wral,0.0
dyson,0.0
professors/research,0.0
son,0.0
raises,0.0
sow,0.0
carcenter,0.0
support,0.0
raped,0.0
jane,0.0
launching,0.0
cyberd_b,0.0
they’re,0.0
wa…,0.0
corner—in,0.0
pricing,0.0
steady,0.0
amit_children,0.0
w/them,0.0
wayofthefuture,0.0
texazzpete,0.0
role,0.0
ambitious,0.0
developers,0.0
smell,0.0
thisjustin,0.0
models,0.0
rolling,0.0
oilandenergy,0.0
artificialintelli…,0.0
time,0.0
semieurope,0.0
chain,0.0
oversight,0.0
jerk,0.0
exact,0.0
2moroisalmosthere,0.0
lex_nicolas,0.0
solved,0.0
rideshare,0.0
openrollpodcast,0.0
mitchellrepair,0.0
prevent,0.0
skycar_jack,0.0
sign,0.0
slefdrivingcars,0.0
keithnaughton,0.0
digitalization,0.0
understanding,0.0
jeremyfgrace,0.0
address,0.0
raykurzweil,0.0
along,0.0
passengers,0.0
brilliant,0.0
impacted,0.0
globedrive,0.0
studies,0.0
prefer,0.0
ipo,0.0
positive,0.0
predictions,0.0
nkulw,0.0
come-in,0.0
annually.”,0.0
srco,0.0
refrain,0.0
everywhere,0.0
drivespark,0.0
autonomousca…,0.0
unveiled,0.0
offense,0.0
monitoring,0.0
silos,0.0
future…,0.0
explores,0.0
spot,0.0
revealeu,0.0
date,0.0
suck,0.0
stress,0.0
sectors,0.0
simon_obyrne,0.0
wheelchair,0.0
truck,0.0
pulled,0.0
phemonoelab,0.0
flips,0.0
years,0.0
pitchbook,0.0
markfields,0.0
lacincubator,0.0
sullycnbc,0.0
johnrobb,0.0
smarter,0.0
episode-,0.0
subscribers,0.0
financialpost,0.0
matched,0.0
didi,0.0
gtav,0.0
entering,0.0
brags,0.0
abide,0.0
seriously,0.0
scoopwhoopnews,0.0
abundancehub,0.0
rickking16,0.0
quits,0.0
seventy,0.0
chevy,0.0
gineersnow,0.0
saving,0.0
kvue,0.0
submit,0.0
vote,0.0
fmx,0.0
mtbs,0.0
today’s,0.0
selfiedrivingcar,0.0
mikejgr,0.0
representing,0.0
physorg_com,0.0
entrepreneurship…,0.0
future..,0.0
shakeup,0.0
prospect,0.0
sai,0.0
san,0.0
sap,0.0
note,0.0
intends,0.0
georgenapolitano,0.0
opposite,0.0
buffer,0.0
knew,0.0
sale,0.0
stanfordeng,0.0
ways,0.0
transit2203,0.0
laws,0.0
aiworldexpo,0.0
generalmotorscorporation,0.0
aggressive,0.0
selfdrivingvehicles,0.0
slow,0.0
robs,0.0
prime,0.0
next…,0.0
hinges,0.0
borrow,0.0
worried,0.0
where,0.0
vision,0.0
phronesis_inc,0.0
neuronme,0.0
x28,0.0
‘terrorist,0.0
teens,0.0
welcomes,0.0
gregchase,0.0
markus_rossmann,0.0
volvos,0.0
aaronharber,0.0
malliardreport,0.0
yearly,0.0
insurancetechit,0.0
gobizlouis,0.0
comeback,0.0
considers,0.0
math,0.0
airliner,0.0
prototype,0.0
vehicleinnovation,0.0
wants,0.0
quanergy,0.0
enable,0.0
lanes,0.0
-mashable,0.0
photos,0.0
drueriksson,0.0
blau,0.0
asmsg,0.0
spooked,0.0
shuts,0.0
9news,0.0
surveillance,0.0
mobilesensors,0.0
singapore,0.0
rfid,0.0
cheers,0.0
wired,0.0
escorts,0.0
trains,0.0
summer,0.0
being,0.0
rest,0.0
weekly,0.0
kerala,0.0
hometownpride,0.0
easymile,0.0
aspects,0.0
iotlaw,0.0
roadsigns,0.0
traffic,0.0
volvocarsglobal’s,0.0
dilbert,0.0
lebanon,0.0
360°,0.0
nvda,0.0
patrick_henz,0.0
thinks,0.0
topgear_bbca,0.0
gregbensinger,0.0
noon,0.0
ethicsintegrity,0.0
exit,0.0
think-,0.0
power,0.0
internship,0.0
aitrends,0.0
thailand,0.0
stone,0.0
swarms,0.0
favorite,0.0
theweek,0.0
smilingcar,0.0
uberfreight,0.0
apologize,0.0
pivot,0.0
hed,0.0
postdigitalculture,0.0
venturebeat,0.0
you…,0.0
buying,0.0
rush,0.0
rage,0.0
auronomouscars,0.0
driver’s,0.0
unveils,0.0
trips,0.0
gone,0.0
cnbc,0.0
certain,0.0
cyber-muslim,0.0
futurehuntco,0.0
watched,0.0
auto-targeting,0.0
uber/,0.0
tight,0.0
pgdanielmoore,0.0
motorcyclists,0.0
"2,700",0.0
steelcity,0.0
selfcare,0.0
cliff117,0.0
japantimes,0.0
uberx,0.0
passed,0.0
original,0.0
sharekarle,0.0
beware,0.0
autonomusfuture,0.0
smile,0.0
techrepublic,0.0
calif.,0.0
swallows,0.0
automechanica,0.0
existing,0.0
sans,0.0
large,0.0
redlights,0.0
past,0.0
displays,0.0
pass,0.0
news_8,0.0
uberchopper,0.0
scientists,0.0
giuliapaganoni,0.0
futureshock,0.0
showrooms,0.0
4real,0.0
sweenzor,0.0
via,0.0
vid,0.0
phonebots,0.0
tomtom,0.0
select,0.0
danielvakili,0.0
tested,0.0
science,0.0
installing,0.0
18havas,0.0
nutonony,0.0
beautiful,0.0
autoinsurance,0.0
states,0.0
fundamenta,0.0
sense,0.0
imminent,0.0
quicktruck,0.0
supershuttle,0.0
scifi,0.0
burgh,0.0
mapping,0.0
acquisitions,0.0
register,0.0
trade,0.0
yandex,0.0
signs,0.0
smiling,0.0
whatcouldpossiblygowrong,0.0
rapidly,0.0
retro-fit,0.0
pointcloud,0.0
colleague,0.0
it-,0.0
chinese-,0.0
denny,0.0
whatif,0.0
teamhustle,0.0
th_robertscott,0.0
1am,0.0
found,0.0
cfcmedialab,0.0
england,0.0
accelerator,0.0
sinemetcndrella,0.0
reduce,0.0
measurement,0.0
missed,0.0
'looking,0.0
highway,0.0
equipped,0.0
evs,0.0
unmanned,0.0
ft.,0.0
hyderabad,0.0
major,0.0
protectionist,0.0
heads,0.0
jet,0.0
hustonca,0.0
gregcott,0.0
relationship,0.0
usergeneratedvideo,0.0
wsbtv,0.0
mcfly,0.0
🚘🚘🚘,0.0
carnews,0.0
pre-announces,0.0
taxis,0.0
mbrainfr,0.0
sell,0.0
accepting,0.0
revolutionary,0.0
sometimes,0.0
revolution.,0.0
tusexpo,0.0
ugc,0.0
jeffdanielsca,0.0
nasdaq,0.0
munichre,0.0
freight,0.0
with…,0.0
failed,0.0
shoppingcarts,0.0
reporters,0.0
lowa84,0.0
teams,0.0
banking,0.0
selfdrive,0.0
coors,0.0
swaaanson,0.0
approaching,0.0
set,0.0
potent,0.0
sex,0.0
sec,0.0
sea,0.0
sips,0.0
currently,0.0
pickup,0.0
halfway,0.0
valuewalk,0.0
respondents,0.0
prospects,0.0
tractopart1,0.0
improves,0.0
gogreen,0.0
whole,0.0
faraday,0.0
stemnext,0.0
sdcathcart,0.0
boozallen,0.0
tensorflow,0.0
wheeler,0.0
mine,0.0
lincoln_iam1,0.0
judicial,0.0
reliable,0.0
👍👍👍,0.0
eecsatmi,0.0
hoping,0.0
motors,0.0
kills,0.0
wordpressdotcom,0.0
strtup09,0.0
designtools,0.0
2035,0.0
self-dr,0.0
walmart,0.0
leaps,0.0
recent,0.0
profeng,0.0
onlinemedia,0.0
picks,0.0
project-,0.0
whereskr,0.0
roberto_ranz,0.0
glitches,0.0
signals,0.0
sydney,0.0
jtrullols1028,0.0
ibmwatson|,0.0
australia,0.0
yields,0.0
1320,0.0
tailgateparty…,0.0
senate,0.0
palo,0.0
idkhowifeel,0.0
cityofboston,0.0
stephenking,0.0
investopedia,0.0
heinzhistorycenter,0.0
theemarz,0.0
❓❔❓,0.0
dashcam,0.0
daimler,0.0
melbourne,0.0
aiinasia,0.0
canning,0.0
1gb,0.0
palm-sized,0.0
roboticstrends,0.0
doubters,0.0
dymola,0.0
foxaustin,0.0
hntweets,0.0
ladylakemusic,0.0
getaround,0.0
atifatif,0.0
opens,0.0
atlantic,0.0
line,0.0
robotcars,0.0
jo_mbarga,0.0
cia,0.0
verification,0.0
happyhour,0.0
start-up,0.0
unsafe,0.0
chat,0.0
pre-widespread,0.0
mybargain,0.0
mapoli,0.0
preventing,0.0
audreyandray,0.0
scraps,0.0
frogger,0.0
elements,0.0
planetacterra,0.0
land,0.0
carrying,0.0
.ugv,0.0
hello,0.0
code,0.0
laziness,0.0
results,0.0
stops,0.0
4mums,0.0
send,0.0
resources,0.0
continues,0.0
wipe,0.0
“could,0.0
ecpeixoto,0.0
try,0.0
bridget_burdett,0.0
wbrjln,0.0
logistics,0.0
russellmanthy,0.0
video,0.0
licenses,0.0
limits=legacy,0.0
consistently,0.0
asis16,0.0
forddrivegreen,0.0
leo,0.0
licence,0.0
ubuntu,0.0
invented,0.0
involved,0.0
.robocop,0.0
opinion,0.0
residents,0.0
maker,0.0
involves,0.0
starship,0.0
sgp,0.0
siri,0.0
buyoneformydaughter,0.0
cbre,0.0
projectt…,0.0
illegal,0.0
doubt,0.0
auton…,0.0
beantown,0.0
baby,0.0
freerides,0.0
mcuban,0.0
when,0.0
vehicl…,0.0
benz,0.0
rode,0.0
loco,0.0
hothardware,0.0
petersagal,0.0
imaginecareer,0.0
npr,0.0
realized,0.0
ieeeusa,0.0
'driverless,0.0
insider..,0.0
comma,0.0
thoheller,0.0
perfect,0.0
degrees,0.0
2018,0.0
2015,0.0
2011,0.0
seatbelt,0.0
pittsburgh—this,0.0
kenrainvestors,0.0
johnelwaychevy,0.0
technology…,0.0
truth,0.0
shortage,0.0
dnrevel,0.0
fr_newbrough,0.0
agriculture,0.0
wander,0.0
witness,0.0
geberconsulting,0.0
flyeagle…,0.0
bostonchamber,0.0
hammerson,0.0
m2m,0.0
burke,0.0
shut,0.0
tempe,0.0
regulators,0.0
surely,0.0
regulatory,0.0
steering,0.0
scary,0.0
livingrooms,0.0
networkeffects,0.0
elsevier_eng,0.0
scene,0.0
-our,0.0
transport_gc,0.0
owner,0.0
nyse,0.0
stars,0.0
grandpa,0.0
mikeisaac,0.0
steel,0.0
a-hole,0.0
securitycharli…,0.0
briefing,0.0
wes_guckert,0.0
steer,0.0
result,0.0
theinvestorbusi,0.0
lines,0.0
ruudhendrikstv,0.0
partnership,0.0
'crash,0.0
baidumobile,0.0
|near,0.0
roadsafety,0.0
studying,0.0
takining,0.0
soar,0.0
worldwide,0.0
humansare,0.0
device,0.0
rhnilsson,0.0
waithash,0.0
“tech,0.0
leifssonelvar,0.0
putcosa,0.0
mapping…,0.0
allenscottoshi,0.0
rac_breakdowneu,0.0
techstoryin,0.0
bendlerblogger,0.0
connective,0.0
economist,0.0
ugm2016,0.0
decade,0.0
theinclinepgh,0.0
should,0.0
jam,0.0
tape,0.0
todaypittsburgh,0.0
insight,0.0
masshole,0.0
lucky,0.0
taxes,0.0
stuff,0.0
signmeup,0.0
innovator,0.0
lyon,0.0
taggart,0.0
intuggb,0.0
pioneersummit,0.0
teamericsson,0.0
email,0.0
ends,0.0
marty,0.0
stanleysecurity,0.0
sdtd,0.0
etf,0.0
sharidoherty,0.0
winning,0.0
powered,0.0
utilizing,0.0
liposuction,0.0
drive.ai,0.0
rogerduboiscbc,0.0
graphics,0.0
ecomrecruitment,0.0
madisonkayltd,0.0
datafloq,0.0
sjws,0.0
will…,0.0
surprisingly,0.0
hardware,0.0
optimistic,0.0
pldt_alpha,0.0
trend_slam,0.0
lsilverwoman,0.0
paving,0.0
robotic,0.0
expand,0.0
guidaautonoma,0.0
off,0.0
authorshailesh,0.0
less,0.0
rooms,0.0
pavitservices,0.0
paul,0.0
glue,0.0
wef,0.0
shh16,0.0
crack,0.0
government,0.0
yearofthinkingbig,0.0
increases,0.0
five,0.0
amendment,0.0
footage,0.0
literally,0.0
high-definition,0.0
therapists,0.0
loana,0.0
vs.,0.0
stage,0.0
sister,0.0
lifestyle,0.0
angeles,0.0
alliance,0.0
spots,0.0
ianbeckett,0.0
scott_wassmer,0.0
shoujaaakram,0.0
yrs,0.0
function,0.0
melissaleecnbc,0.0
'cozy,0.0
overlapping,0.0
fxmacro,0.0
construction,0.0
dgarrote,0.0
official,0.0
smooth,0.0
volvo,0.0
problem,0.0
postcapitalism,0.0
slowing,0.0
medibasket,0.0
awalkerinla,0.0
trials,0.0
lately,0.0
cityplanning,0.0
francisco,0.0
monday,0.0
chance,0.0
dolphins,0.0
autosens_,0.0
yikes,0.0
alexanderwear,0.0
uniwageningen,0.0
bike,0.0
slowest,0.0
worth,0.0
olivercameron,0.0
sandsquatch1,0.0
tickets,0.0
roadblock,0.0
announced,0.0
cmu,0.0
levels-,0.0
uber_support,0.0
machines,0.0
revolutionize,0.0
near,0.0
officially,0.0
told,0.0
skids-,0.0
startupnews101,0.0
slf,0.0
kudos,0.0
vogt,0.0
kmak_sa,0.0
secure,0.0
appescriba,0.0
updatedsystem,0.0
total,0.0
plot,0.0
sunlive,0.0
kostelecplan,0.0
tailgateparty,0.0
ploy,0.0
nutonomy,0.0
greggutfeld,0.0
word,0.0
1997,0.0
ucberkeley,0.0
work,0.0
cant,0.0
transparency,0.0
thenextpgh,0.0
noconsent,0.0
smvw16,0.0
uav,0.0
deep-learning,0.0
walsh,0.0
samsungsemius,0.0
verify,0.0
meetinnovation,0.0
‘pushing,0.0
rewind,0.0
interview,0.0
classifying,0.0
self_driving,0.0
transforming,0.0
delphiauto,0.0
millimeter,0.0
openai,0.0
anritsuemea,0.0
hc_vehicles,0.0
.bradtem,0.0
greet,0.0
mari_ix,0.0
abcnews24,0.0
wbirnews,0.0
triggering,0.0
salon,0.0
pittsburgh👀,0.0
innovative,0.0
japan,0.0
mayor,0.0
jomason57,0.0
production,0.0
ihs,0.0
versus,0.0
them,0.0
bans,0.0
roadvikings,0.0
knxfrank,0.0
sack,0.0
ndew2016,0.0
tomkingnj,0.0
mjslaby,0.0
maximintegrated,0.0
373,0.0
kneels,0.0
crimes,0.0
cuffymeh,0.0
long-haul,0.0
athertonkd,0.0
barrier,0.0
standard,0.0
parclick,0.0
intel…,0.0
amulyanagaraj,0.0
crimewriter,0.0
2050,0.0
dennisheusser,0.0
techthursday,0.0
radars,0.0
geodata,0.0
toronto,0.0
minibus,0.0
draziraphale,0.0
optionality,0.0
hacking,0.0
powers,0.0
forced,0.0
explanation,0.0
ubertron,0.0
oems,0.0
onlyatudacity,0.0
involving,0.0
khol,0.0
investments,0.0
terrinakamura,0.0
karinasfonyc,0.0
enjoyed,0.0
owns/has,0.0
matslew,0.0
w/7,0.0
hrc,0.0
personality,0.0
desiblitz,0.0
scalable,0.0
eatmyhandbag,0.0
runs,0.0
iphoneupdate,0.0
covering,0.0
w/o,0.0
steal,0.0
groupekeolis,0.0
unmechanized,0.0
optimus,0.0
adient,0.0
colinpowell,0.0
applewatch,0.0
terms,0.0
packaged,0.0
sbalich,0.0
mdolgov2,0.0
anytimeihear,0.0
iheartpgh,0.0
receives,0.0
equipment_world,0.0
tough,0.0
tanejagroup,0.0
wider,0.0
oblivious,0.0
engines,0.0
sachs,0.0
way..,0.0
dozens,0.0
autotechcouncil,0.0
inext,0.0
clairvoyant,0.0
save,0.0
hav,0.0
applies,0.0
property,0.0
robotwatchmik…,0.0
brake,0.0
patent,0.0
demonstration,0.0
advertising,0.0
scenario,0.0
thx,0.0
kyle,0.0
1970,0.0
contact,0.0
dunyanews,0.0
thanks,0.0
victim,0.0
board,0.0
righteous,0.0
“drove”,0.0
pross356,0.0
ibci,0.0
theyre,0.0
statemedicine,0.0
night,0.0
tweetermeyer,0.0
roboteam_inc,0.0
coast2coast_ev,0.0
comments,0.0
cockiest,0.0
socialkimly,0.0
pls,0.0
post,0.0
months,0.0
gearing,0.0
samsung’s,0.0
ride-hail,0.0
mrjohnnicolson,0.0
legislation,0.0
way,0.0
researchers,0.0
uber-ization,0.0
converse,0.0
taken,0.0
mechem,0.0
car2go,0.0
zendrive,0.0
promises,0.0
hotter,0.0
israel,0.0
n*ggas,0.0
promised,0.0
potholes,0.0
automakers’,0.0
letsnurture,0.0
stake,0.0
the419,0.0
shrink,0.0
geely,0.0
“they,0.0
weirdest,0.0
attendees,0.0
together,0.0
jeanclaudesaade,0.0
treedarmant1,0.0
stick,0.0
switched,0.0
arrived..,0.0
seemingly,0.0
trouble,0.0
kitted,0.0
presented,0.0
turns,0.0
ve…,0.0
autonomouscarr,0.0
crowdsourced,0.0
'rebooting,0.0
revolution,0.0
strickland,0.0
bravo,0.0
free-for-all,0.0
rfactorpro,0.0
worldnews,0.0
shared,0.0
teaches,0.0
pedals,0.0
precursor,0.0
trial,0.0
stephen_shivers,0.0
fbi,0.0
oliversuess,0.0
prove,0.0
beneficence,0.0
googleplex,0.0
live,0.0
ex-google,0.0
envelope,0.0
ibm,0.0
trans,0.0
techpolis,0.0
chip,0.0
topic,0.0
risk-taking,0.0
legaltech,0.0
discussion,0.0
write,0.0
product,0.0
southern,0.0
lojee21,0.0
snows/rains,0.0
“for,0.0
everyd…,0.0
partechventures,0.0
futures,0.0
jeffbooth,0.0
ride-share,0.0
typical,0.0
epc_corp,0.0
indeed,0.0
brain,0.0
retail…,0.0
ieee,0.0
shen_ed,0.0
meetolli,0.0
shoutgamers,0.0
window,0.0
selfdrivingcart,0.0
techportalntw,0.0
philosophynow,0.0
geekients,0.0
introduce,0.0
techbl…,0.0
onlyinbos,0.0
bigcloudteam,0.0
drop,0.0
crisisinsixscenes,0.0
tsmobility,0.0
1piece,0.0
yeah,0.0
generalmotors,0.0
fires,0.0
year,0.0
vrai777,0.0
opened,0.0
space,0.0
thisisrachael,0.0
looking,0.0
navigating,0.0
fargo,0.0
viable,0.0
unwanted,0.0
'jokers,0.0
nonprofit,0.0
blind,0.0
striking,0.0
invasion,0.0
moremoney,0.0
nilanp,0.0
drove,0.0
tomorrow,0.0
caught,0.0
remotely,0.0
futur…,0.0
davidhasselhoff,0.0
cathiedwood,0.0
mostly,0.0
that,0.0
brains,0.0
on…,0.0
eliminated,0.0
than,0.0
iaaboutca,0.0
minimumwagerates,0.0
trafficjam,0.0
grandtheftautov,0.0
start-ups,0.0
crain,0.0
investors,0.0
remained,0.0
slam,0.0
form,0.0
manufacturers,0.0
mr.,0.0
price,0.0
wilshiregrandtower,0.0
mrx,0.0
automotivenews,0.0
tooth,0.0
ecar,0.0
automateddriving,0.0
milrem,0.0
german,0.0
mashable,0.0
ramilsharifsoy,0.0
upgrade,0.0
only,0.0
neinsteinlaw,0.0
pa_puc,0.0
ystao1314,0.0
philipkdickproblems,0.0
happybargaining,0.0
footb…,0.0
actively,0.0
trolleyproblem,0.0
points,0.0
israeli,0.0
between,0.0
notice,0.0
'upgrades,0.0
platformbusiness,0.0
blame,0.0
riccardopaterni,0.0
twitsbysalimm,0.0
cjad800,0.0
silverkayondo,0.0
overview,0.0
actually,0.0
jerks,0.0
self-less,0.0
developing,0.0
these,0.0
zoltapp,0.0
handicapped,0.0
teslaflying,0.0
media,0.0
starintech,0.0
cars’,0.0
appelscha,0.0
centuries,0.0
internet…,0.0
investigates,0.0
tsdemoday,0.0
complained,0.0
traps,0.0
launched,0.0
donald_wood,0.0
taxi,0.0
thinking,0.0
lesechos,0.0
hover,0.0
calendars,0.0
pgh.,0.0
listening,0.0
transporttopics,0.0
adamsolar,0.0
ajplus,0.0
fortune,0.0
suppliers,0.0
roll,0.0
kcts9,0.0
ehealth,0.0
selfdrivin…,0.0
transformer…,0.0
recorded,0.0
selfdri…,0.0
dealership,0.0
saftey,0.0
volkswagen,0.0
kaarmann,0.0
sundaytimesza,0.0
comparison,0.0
backup,0.0
processor,0.0
researching,0.0
operator,0.0
your,0.0
connectcbus2015,0.0
digitalarun,0.0
mskoler,0.0
los,0.0
congested,0.0
investinisrael,0.0
gaza,0.0
interiors,0.0
“the,0.0
fusions,0.0
describe,0.0
moved,0.0
reliability,0.0
moves,0.0
uber_rsa,0.0
interiordesign,0.0
uber…,0.0
you,0.0
3-d,0.0
poor,0.0
sam_baer7,0.0
tendencies,0.0
pool,0.0
pro…,0.0
wednesdaywisdom,0.0
jtodwork,0.0
kuehnmatthias,0.0
carpet,0.0
wmt,0.0
meghanemorris,0.0
über,0.0
very,0.0
supercomputer,0.0
wswmuc,0.0
alerttrade,0.0
transporta…,0.0
streets,0.0
i..,0.0
mariotapia,0.0
captain_deltic,0.0
cues,0.0
nano,0.0
investing,0.0
techreview,0.0
turmoil,0.0
claytexdymola,0.0
theverge,0.0
tracks,0.0
strong,0.0
‘tesla,0.0
creepy,0.0
amount,0.0
arent,0.0
wearables,0.0
family,0.0
partnering,0.0
